storage,area,discharge
0,0.0,0.0
175,0.04,0.0
350,0.07,0.09
960,0.16,0.1402504
1450,0.31,0.17
2960,0.6,0.2011998
5020,1.04,0.2288002
8710,1.77,0.2495999
13700,2.75,0.27
16372,4.08,0.48
19044,5.42,1.15
20380,6.75,1.924985
25270,8.38,4.25
28530,10.01,6.57
