storage,area,discharge
0,0.0,0.0
100,0.05,0.03508854
200,0.1,0.07017574
800,0.4,0.1024389
1000,0.6,0.1105695
1300,0.75,0.1268293
1600,0.9,0.1430892
2200,1.1,0.1674796
2800,1.7,0.1756096
3500,2.4,0.1837395
4000,2.9,0.1918701
4800,3.7,0.2
5200,4.1,0.3
7000,5.9,0.304
8000,6.57,0.31
10800,7.69,0.32
12000,9.4,0.354999
14000,11.9,0.4624948
18000,14.25,1.1
20000,16.25,1.682476
21000,17.5,2.2
