storage,area,discharge
0,0.0,0.0
50,0.01,0.0
100,0.02,0.08874881
110,0.02,0.1171423
209,0.06,0.15
392,0.14,0.2153344
534,0.22,0.2260012
768,0.32,0.2420004
1336,0.46,0.2584
1695,0.63,0.265
2205,0.86,0.2716
3223,1.13,0.2829998
3890,1.5,0.2893332
4890,1.8,0.3
6400,2.25,1.435
7560,2.75,3.28
9590,3.56,3.28
