OrigSoil,imWEBsSoil,imWEBsSoilName
1,1,BKNCL
2,2,BKNSIL
3,3,BRR
4,4,BSB
5,5,BUF
6,6,DYK
7,7,GFD
8,8,HUO
9,9,LTW
10,10,PTHCL
11,11,PTHSIL
12,12,SRG_PTHCL
13,13,ZAL
